tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-mass,animal-mortality-type,animal-sex,attachment-type,capture-latitude,capture-longitude,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
700487A,MVBOB62M,Lynx rufus,2019-01-21 00:00:00.000,2020-01-04 23:59:00.000,,2 years,7600.0,,m,collar,48.54171,-120.14558,EndFate: Unknown; SubCause: CollarFail,equipment-failure,MVBOB62M_700487A,none,Okanogan,Telonics,TGW-4270-4,satellite
700498A,NEBOB5M,Lynx rufus,2019-01-23 00:00:00.000,2019-10-11 23:59:00.000,Cause: Predator; SubCause: Predator,1.5 years,9100.0,predation,m,collar,48.11158,-117.94746,,dead,NEBOB5M_700498A,none,Northeast,Telonics,TGW-4270-4,satellite
700495A,MVBOB66M,Lynx rufus,2019-01-30 00:00:00.000,2020-10-22 23:59:00.000,,1.5 years,9100.0,,m,collar,48.56598,-120.15492,EndFate: Alive; SubCause: BatteryDied,transmission-end,MVBOB66M_700495A,none,Okanogan,Telonics,TGW-4270-4,satellite
700493A,NEBOB6F,Lynx rufus,2019-02-03 00:00:00.000,2020-07-10 23:59:00.000,,3 years,7300.0,,f,collar,48.11491,-117.90008,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,NEBOB6F_700493A,none,Northeast,Telonics,TGW-4270-4,satellite
700494A,MVBOB85F,Lynx rufus,2019-02-07 00:00:00.000,2020-01-11 23:59:00.000,,years,8300.0,,f,collar,48.60447,-120.16208,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,MVBOB85F_700494A,none,Okanogan,Telonics,TGW-4270-4,satellite
700490A,NEBOB7F,Lynx rufus,2019-02-08 00:00:00.000,2020-09-12 23:59:00.000,,5 years,8400.0,,f,collar,48.34843,-117.78084,EndFate: Alive; SubCause: BatteryDied,transmission-end,NEBOB7F_700490A,none,Northeast,Telonics,TGW-4270-4,satellite
707811A,NEBOB8M,Lynx rufus,2019-02-23 00:00:00.000,2019-11-28 23:59:00.000,Cause: Human; SubCause: Trapped,5 years,11800.0,harvest,m,collar,48.40562,-117.57172,,dead,NEBOB8M_707811A,none,Northeast,Telonics,TGW-4270-4,satellite
707826A,MVBOB69F,Lynx rufus,2019-02-26 00:00:00.000,2020-09-17 23:59:00.000,,3.5 years,7000.0,,f,collar,48.61411,-120.20246,EndFate: Alive; SubCause: BatteryDied,transmission-end,MVBOB69F_707826A,none,Okanogan,Telonics,TGW-4270-4,satellite
707818A,NEBOB10F,Lynx rufus,2019-03-16 00:00:00.000,2020-10-03 23:59:00.000,,5 years,8500.0,,f,collar,48.44955,-117.6587,EndFate: Alive; SubCause: BatteryDied,transmission-end,NEBOB10F_707818A,none,Northeast,Telonics,TGW-4270-4,satellite
707824A,MVBOB87M,Lynx rufus,2019-03-16 00:00:00.000,2019-12-29 23:59:00.000,Cause: Human; SubCause: Shot,3.5 years,7800.0,harvest,m,collar,48.59607,-120.09176,,dead,MVBOB87M_707824A,none,Okanogan,Telonics,TGW-4270-4,satellite
705006A,NECOY12F,Canis latrans,2019-03-18 00:00:00.000,2019-11-06 23:59:00.000,Cause: Human; SubCause: Shot,2 years,9200.0,harvest,f,collar,48.10423,-117.32168,,dead,NECOY12F_705006A,none,Northeast,Telonics,TGW-4470-4,satellite
707817A,NEBOB11M,Lynx rufus,2019-03-18 00:00:00.000,2019-04-02 23:59:00.000,Cause: Other; SubCause: Bobcat,2 years,11300.0,predation,m,collar,48.36685,-117.6789,,dead,NEBOB11M_707817A,none,Northeast,Telonics,TGW-4270-4,satellite
707809A,MVBOB67M,Lynx rufus,2019-03-18 00:00:00.000,2021-01-27 23:59:00.000,Cause: Human; SubCause: Trapped,3 years,8200.0,harvest,m,collar,48.61183,-120.0466,,dead,MVBOB67M_707809A,none,Okanogan,Telonics,TGW-4270-4,satellite
707810B,NEBOB13F,Lynx rufus,2019-03-28 00:00:00.000,2020-10-04 23:59:00.000,,1.5 years,7300.0,,f,collar,48.02147,-117.90008,EndFate: Alive; SubCause: BatteryDied,transmission-end,NEBOB13F_707810B,none,Northeast,Telonics,TGW-4270-4,satellite
699746A,MVCOY82M,Canis latrans,2019-06-21 00:00:00.000,2020-03-09 23:59:00.000,Cause: Human; SubCause: Shot,3 years,12100.0,harvest,m,collar,48.60609,-120.25912,,dead,MVCOY82M_699746A,none,Okanogan,Telonics,TGW-4470-4,satellite
700504A,NECOY36M,Canis latrans,2019-06-22 00:00:00.000,2021-01-06 23:59:00.000,Cause: Predator; SubCause: Bear,3 years,11400.0,predation,m,collar,48.11883,-117.85383,,dead,NECOY36M_700504A,none,Northeast,Telonics,TGW-4470-4,satellite
689063B,MVCOY56M,Canis latrans,2019-06-23 00:00:00.000,2020-01-31 23:59:00.000,Cause: Human; SubCause: Shot,2 years,13400.0,harvest,m,collar,48.59607,-120.2338,,dead,MVCOY56M_689063B,none,Okanogan,Telonics,TGW-4470-4,satellite
700503A,NECOY14M,Canis latrans,2019-06-27 00:00:00.000,2019-07-15 23:59:00.000,Cause: Human; SubCause: Shot,1 years,10700.0,harvest,m,collar,48.14615,-117.88915,,dead,NECOY14M_700503A,none,Northeast,Telonics,TGW-4470-4,satellite
699703A,MVCOY60M,Canis latrans,2019-06-28 00:00:00.000,2021-01-17 23:59:00.000,,2 years,10000.0,,m,collar,48.624597,-120.236421,EndFate: Alive; SubCause: BatteryDied,transmission-end,MVCOY60M_699703A,none,Okanogan,Telonics,TGW-4470-4,satellite
699719A,MVCOY59F,Canis latrans,2019-07-12 00:00:00.000,2020-02-13 23:59:00.000,Cause: Human; SubCause: Shot,2 years,9300.0,harvest,f,collar,48.588073,-120.193379,,dead,MVCOY59F_699719A,none,Okanogan,Telonics,TGW-4470-4,satellite
705009A,MVCOY81M,Canis latrans,2019-07-13 00:00:00.000,2020-12-29 23:59:00.000,Cause: Human; SubCause: Shot,1.5 years,12900.0,harvest,m,collar,48.525998,-120.137039,,dead,MVCOY81M_705009A,none,Okanogan,Telonics,TGW-4470-4,satellite
705012A,MVCOY58M,Canis latrans,2019-08-04 00:00:00.000,2021-04-29 23:59:00.000,Cause: Human; SubCause: Shot,1.5 years,11300.0,harvest,m,collar,48.3312,-119.89697,,dead,MVCOY58M_705012A,none,Okanogan,Telonics,TGW-4470-4,satellite
707814A,NEBOB16M,Lynx rufus,2019-08-07 00:00:00.000,2020-11-01 23:59:00.000,,6 years,10900.0,,m,collar,48.10662,-117.86583,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,NEBOB16M_707814A,none,Northeast,Telonics,TGW-4270-4,satellite
700505A,MVCOY63M,Canis latrans,2019-08-13 00:00:00.000,2021-05-25 23:59:00.000,Cause: Unknown; SubCause: Unknown,7 years,12100.0,unknown,m,collar,48.24676,-119.96204,,dead,MVCOY63M_700505A,none,Okanogan,Telonics,TGW-4470-4,satellite
699760A,MVCOY98M,Canis latrans,2019-08-20 00:00:00.000,2020-05-27 23:59:00.000,Cause: Unknown; SubCause: Unknown,4.5 years,13500.0,unknown,m,collar,48.27642,-120.27353,,dead,MVCOY98M_699760A,none,Okanogan,Telonics,TGW-4470-4,satellite
705013A,NECOY17M,Canis latrans,2019-08-22 00:00:00.000,2020-07-27 23:59:00.000,Cause: Human; SubCause: Shot,2 years,10100.0,harvest,m,collar,48.48419,-117.85209,,dead,NECOY17M_705013A,none,Northeast,Telonics,TGW-4470-4,satellite
705011A,MVCOY18F,Canis latrans,2019-08-28 00:00:00.000,2020-11-24 23:59:00.000,Cause: Human; SubCause: Shot,years,10000.0,harvest,f,collar,48.388496,-119.8291111,,dead,MVCOY18F_705011A,none,Okanogan,Telonics,TGW-4470-4,satellite
705018A,MVCOY97M,Canis latrans,2019-09-10 00:00:00.000,2020-01-29 23:59:00.000,Cause: Human; SubCause: Vehicle,2 years,12000.0,vehicle-collision,m,collar,48.597571,-120.164295,,dead,MVCOY97M_705018A,none,Okanogan,Telonics,TGW-4470-4,satellite
705014A,NECOY20F,Canis latrans,2019-09-11 00:00:00.000,2020-06-12 23:59:00.000,Cause: Human; SubCause: Shot,2 years,12800.0,harvest,f,collar,48.17552,-117.61307,,dead,NECOY20F_705014A,none,Northeast,Telonics,TGW-4470-4,satellite
707819A,MVBOB91M,Lynx rufus,2020-01-09 00:00:00.000,2020-01-18 23:59:00.000,Cause: Human; SubCause: Shot,5.5 years,9300.0,harvest,m,collar,48.32747,-120.25154,,dead,MVBOB91M_707819A,none,Okanogan,Telonics,TGW-4270-4,satellite
707815A,MVBOB99F,Lynx rufus,2020-01-16 00:00:00.000,2020-05-14 23:59:00.000,Cause: Predator; SubCause: Cougar,3.5 years,7250.0,predation,f,collar,48.2773,-119.9435,,dead,MVBOB99F_707815A,none,Okanogan,Telonics,TGW-4270-4,satellite
707823A,MVBOB51M,Lynx rufus,2020-01-20 00:00:00.000,2021-02-22 23:59:00.000,,2 years,9600.0,,m,collar,48.48224,-120.10249,EndFate: Alive; SubCause: DropCollar,scheduled-detachment,MVBOB51M_707823A,none,Okanogan,Telonics,TGW-4270-4,satellite
707813A,NEBOB33M,Lynx rufus,2020-02-02 00:00:00.000,2022-01-06 23:59:00.000,Cause: Human; SubCause: Trapped,3 years,9900.0,harvest,m,collar,48.40123,-117.62607,,dead,NEBOB33M_707813A,none,Northeast,Telonics,TGW-4270-4,satellite
707825A,MVBOB55M,Lynx rufus,2020-02-06 00:00:00.000,2021-02-05 23:59:00.000,Cause: Other; SubCause: Accident (drowned),3.5 years,11000.0,other,m,collar,48.58096,-120.20522,,dead,MVBOB55M_707825A,none,Okanogan,Telonics,TGW-4270-4,satellite
700489A,NEBOB38M,Lynx rufus,2020-02-10 00:00:00.000,2021-07-21 23:59:00.000,,4 years,11500.0,,m,collar,48.35343,-117.54429,EndFate: Alive; SubCause: BatteryDied,transmission-end,NEBOB38M_700489A,none,Northeast,Telonics,TGW-4270-4,satellite
700491A,MVBOB54F,Lynx rufus,2020-02-14 00:00:00.000,2020-09-15 23:59:00.000,Cause: Other; SubCause: Starvation or disease,5.5 years,8100.0,other,f,collar,48.53483,-120.13864,,dead,MVBOB54F_700491A,none,Okanogan,Telonics,TGW-4270-4,satellite
707812A,NEBOB41F,Lynx rufus,2020-02-14 00:00:00.000,2021-07-26 23:59:00.000,,1 years,7600.0,,f,collar,48.34939,-117.55489,EndFate: Alive; SubCause: BatteryDied,transmission-end,NEBOB41F_707812A,none,Northeast,Telonics,TGW-4270-4,satellite
700488A,NEBOB35M,Lynx rufus,2020-02-20 00:00:00.000,2021-02-05 23:59:00.000,Cause: Other; SubCause: Disease (nematodiasis),5.5 years,11100.0,disease,m,collar,48.13802,-117.43597,,dead,NEBOB35M_700488A,none,Northeast,Telonics,TGW-4270-4,satellite
700497A,NEBOB45M,Lynx rufus,2020-03-02 00:00:00.000,2021-01-20 23:59:00.000,Cause: Human; SubCause: Trapped,4.5 years,12800.0,harvest,m,collar,48.17218,-117.49055,,dead,NEBOB45M_700497A,none,Northeast,Telonics,TGW-4270-4,satellite
