HYAR,x,y,Slope_100,Slope_200,Slope_300,Slope_400,Slope_500,Slope_600,Slope_700,Slope_800,Slope_900,Slope_1000,Slope_1100,Slope_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
0,537337.3706,3513939.115,4.326488894,4.416764419,4.382758815,4.212098478,4.105201766,4.155237584,4.103575507,4.166537472,4.232683989,4.234432713,4.289667485,4.359968515,0,0,0,0,0,0,0,0,0,0,0,0,385.1016409,385.1016391,385.0976396,385.0739624,385.0370877,384.9975636,384.9666531,384.9466327,384.9360612,384.9326651,384.9349056,384.9424911
1,537967.3706,3516399.115,4.419721789,4.765174376,4.621406068,4.337748209,4.37955429,4.505083686,4.567215695,4.570467881,4.569527249,4.531069247,4.506088924,4.479746412,0,0,0,0,0,0,0.000585138,0.006269592,0.020914569,0.035378031,0.040428062,0.044577114,385.8090441,385.8149454,385.8270379,385.8400471,385.8555526,385.8713692,385.8875942,385.9058497,385.9259949,385.9473191,385.9677629,385.9902051
1,539167.3706,3518949.115,4.131601401,4.822284246,5.271893498,5.429877991,5.231242605,5.136857149,5.02219434,4.881905991,4.865614684,4.878032049,4.860523756,4.878618272,0,0,0,0,0,0.005568815,0.008191925,0.010747873,0.010280043,0.008273894,0.006896552,0.007164179,384.7392322,384.7392331,384.7390343,384.7223496,384.677711,384.6175237,384.5492824,384.478359,384.4083805,384.3373038,384.2752382,384.2145063
0,539677.3706,3523719.115,3.617892124,3.770006487,4.695678087,5.600845165,5.779426696,5.937709549,6.269206751,6.804800063,6.921799175,6.761338256,6.750964032,6.730298648,0.297297297,0.452554745,0.47318612,0.459312839,0.441277081,0.406523469,0.365125805,0.323779669,0.28855016,0.255920114,0.230677765,0.20358209,391.3585914,391.3581492,391.3502416,391.3385259,391.3243747,391.3098152,391.2950449,391.2788324,391.2588686,391.233216,391.2049958,391.1696179
1,541057.3706,3526449.115,3.874435636,5.538696864,6.454450761,6.635069636,6.765966738,6.865363759,7.072544603,7.337446447,7.729072171,7.907034482,8.01990199,8.135575696,0.702702703,0.547445255,0.362776025,0.256781193,0.193842645,0.15433572,0.132241077,0.113300493,0.101028004,0.089871612,0.082045184,0.074029851,378.5790512,378.5052684,378.3831926,378.232194,378.051622,377.8712856,377.6894343,377.5171704,377.3935434,377.3383629,377.3477561,377.4130484
1,547717.3706,3514089.115,4.424712212,4.055820817,4.63933638,4.310037191,4.364733993,4.435422262,4.52149938,4.642537334,4.933714435,5.25310981,5.42932258,5.585962225,0,0,0,0,0,0,0,0,0,0,0,0,390.7857493,390.7857468,390.7857447,390.7846399,390.7796818,390.7853418,390.7989078,390.8116195,390.8238214,390.8352564,390.8456384,390.8568675
0,547987.3706,3505149.115,6.724577044,7.07004777,7.13496143,7.717700973,8.115363968,8.631006767,9.722183273,10.7908342,11.54334249,12.11663596,12.51908609,12.82898577,0,0,0,0,0,0,0,0,0,0,0,0,414.585257,414.5852588,414.6153179,414.6939903,414.8147562,414.9518995,415.099204,415.2403384,415.3643307,415.4712905,415.541334,415.5746866
1,552727.3706,3505269.115,18.49717671,16.8063594,15.26574144,14.42963714,13.65199201,13.41571546,13.42078633,13.80282375,14.9775919,16.69749145,17.60190007,18.41736497,0,0,0,0,0,0,0,0,0,0,0,0,404.9444696,404.9444707,404.9135804,404.8310361,404.7193715,404.5997102,404.4844349,404.3870075,404.295948,404.2014129,404.1063865,403.9928356
1,552877.3706,3508329.115,3.981961506,3.994046625,4.176669522,4.278153701,4.55433805,5.138373287,5.349981476,5.425412652,5.434031658,5.386158247,5.469477061,5.62970019,0.027027027,0.00729927,0.003154574,0.001808318,0.001140251,0.000795545,0.000585138,0.000447828,0.000354484,0.000285307,0.000237812,0.000199005,391.1182441,391.2420855,391.4291379,391.6127329,391.8182453,392.0165471,392.2129821,392.4143606,392.6190304,392.8442361,393.068884,393.3251901
0,552037.3706,3509079.115,5.652120722,4.747318778,4.774363457,4.780914709,4.704830437,4.581297643,4.711023662,4.803012034,4.793351861,4.832458253,4.885533147,4.973453242,0,0,0,0,0,0,0,0,0,0,0.001664685,0.003781095,392.5624447,392.6278043,392.7348925,392.8420766,392.9638339,393.0828569,393.201698,393.3254431,393.452006,393.603206,393.7686687,393.9706054
0,548677.3706,3515589.115,6.072062167,6.321338675,6.402444269,6.074674473,6.388525367,6.977614445,7.420939938,7.780094877,8.20550265,8.697615573,9.585601482,10.10417088,0,0,0,0,0,0,0,0,0,0,0,0,399.260291,399.1964851,399.1309875,399.1124712,399.1157903,399.1373534,399.1926994,399.2751205,399.3806074,399.508737,399.6337119,399.7811474
0,547237.3706,3512979.115,4.425212306,4.587033508,4.332378486,4.314355798,4.244322487,4.195139876,4.167932007,4.153758137,4.173388875,4.207822786,4.233020026,4.304388433,0,0,0,0,0,0,0,0,0,0,0,0,385.3100446,385.3135077,385.3282813,385.3455312,385.3638701,385.3803265,385.3955335,385.4076546,385.4169934,385.4275135,385.4420486,385.4631568
0,545857.3706,3493299.115,10.27628302,13.57566073,12.54945935,12.46556218,11.48510502,11.15087016,11.05802025,11.02294322,10.88237885,11.14427313,11.09417985,10.8478761,0,0,0,0,0,0,0,0,0,0,0,0,415.2076936,415.2586833,415.3412883,415.4267539,415.5227462,415.6151671,415.7067869,415.7990638,415.8897643,415.9844813,416.0751388,416.1808488
0,544837.3706,3492279.115,7.539574111,9.171058398,9.49177721,9.704397327,9.340799763,9.187187505,9.213486978,9.085621288,8.911780791,8.834878503,8.841459608,8.784459557,0.081081081,0.03649635,0.034700315,0.037974684,0.041049031,0.043754972,0.040374488,0.032243618,0.025522864,0.020542083,0.017122473,0.014328358,430.5169307,430.5169332,430.5168337,430.5190461,430.5230674,430.5283304,430.5397561,430.5567625,430.5771779,430.6012906,430.6258434,430.6564177
0,546427.3706,3488889.115,5.128014614,6.559900689,7.754100604,8.293306312,9.032631603,9.660134922,10.43031573,10.69993234,10.83811804,10.85447626,11.16417707,11.31002312,0.054054054,0.131386861,0.126182965,0.099457505,0.086659065,0.07557677,0.066705676,0.05687416,0.046082949,0.037089872,0.032104637,0.030646766,439.8564577,439.8636049,439.876074,439.8996027,439.9309572,439.9613759,439.977056,439.9770239,439.96438,439.9411277,439.912916,439.8777255
1,548617.3706,3489549.115,8.994910044,7.984530855,8.55887613,9.020067934,9.323652239,9.474785113,9.363539723,9.340204469,9.372185722,9.291972626,9.104942741,9.065164425,0,0,0,0,0,0,0,0,0,0,0.001426873,0.00278607,434.354545,434.3545472,434.3535324,434.3513351,434.3561838,434.3733828,434.4001709,434.43101,434.4640775,434.4999522,434.5322888,434.5631258
0,541297.3706,3486819.115,5.496498042,6.304915801,8.204364276,8.977644836,10.11666258,10.97557834,12.02254929,13.07585974,14.3066566,15.72803147,16.47049947,17.35433909,0,0,0,0,0,0,0,0,0,0,0,0,469.4341233,469.4398095,469.4299475,469.4063025,469.3741169,469.3390191,469.300175,469.2515758,469.192203,469.1184119,469.0373622,468.9372194
0,541897.3706,3486099.115,5.318096585,6.569555977,7.805451068,8.575539811,9.337962461,9.688919374,10.21357727,11.57247756,13.35860296,14.80756967,16.07731839,17.6041049,0,0,0,0,0,0,0,0,0,0,0,0,466.406198,466.3616217,466.3006784,466.2427041,466.1782149,466.11653,466.0557426,465.9934644,465.9287556,465.8616492,465.7990468,465.7300121
