ELKI,x,y,Forest_100,Forest_200,Forest_300,Forest_400,Forest_500,Forest_600,Forest_700,Forest_800,Forest_900,Forest_1000,Forest_1100,Forest_1200,Grass_100,Grass_200,Grass_300,Grass_400,Grass_500,Grass_600,Grass_700,Grass_800,Grass_900,Grass_1000,Grass_1100,Grass_1200,Water_100,Water_200,Water_300,Water_400,Water_500,Water_600,Water_700,Water_800,Water_900,Water_1000,Water_1100,Water_1200,PREC_100,PREC_200,PREC_300,PREC_400,PREC_500,PREC_600,PREC_700,PREC_800,PREC_900,PREC_1000,PREC_1100,PREC_1200
0,537337.3706,3513939.115,0,0,0,0,0,0,0,0,0,0,0,0,0.405405405,0.525547445,0.577287066,0.593128391,0.55986317,0.584725537,0.606202458,0.618898343,0.632754342,0.635092725,0.631629013,0.630845771,0,0,0,0,0,0,0,0,0,0,0,0,385.1016409,385.1016391,385.0976396,385.0739624,385.0370877,384.9975636,384.9666531,384.9466327,384.9360612,384.9326651,384.9349056,384.9424911
1,537967.3706,3516399.115,0,0,0,0,0,0,0,0,0,0,0,0,0.621621622,0.437956204,0.422712934,0.367088608,0.340935006,0.31344471,0.310708016,0.291983878,0.289259128,0.274750357,0.259453032,0.250348259,0,0,0,0,0,0,0.000585138,0.006269592,0.020914569,0.035378031,0.040428062,0.044577114,385.8090441,385.8149454,385.8270379,385.8400471,385.8555526,385.8713692,385.8875942,385.9058497,385.9259949,385.9473191,385.9677629,385.9902051
1,539167.3706,3518949.115,0,0,0,0,0,0,0,0,0,0,0,0,0.486486486,0.357664234,0.264984227,0.227848101,0.256556442,0.293556086,0.335868929,0.354679803,0.381425027,0.410841655,0.43020214,0.44358209,0,0,0,0,0,0.005568815,0.008191925,0.010747873,0.010280043,0.008273894,0.006896552,0.007164179,384.7392322,384.7392331,384.7390343,384.7223496,384.677711,384.6175237,384.5492824,384.478359,384.4083805,384.3373038,384.2752382,384.2145063
1,539677.3706,3523719.115,0,0.01459854,0.006309148,0.003616637,0.005701254,0.005568815,0.004095963,0.003134796,0.00248139,0.001997147,0.001664685,0.001393035,0.351351351,0.364963504,0.38170347,0.424954792,0.45381984,0.490055688,0.532475132,0.55575459,0.565756824,0.570328103,0.580261593,0.580895522,0.297297297,0.452554745,0.47318612,0.459312839,0.441277081,0.406523469,0.365125805,0.323779669,0.28855016,0.255920114,0.230677765,0.20358209,391.3585914,391.3581492,391.3502416,391.3385259,391.3243747,391.3098152,391.2950449,391.2788324,391.2588686,391.233216,391.2049958,391.1696179
1,541057.3706,3526449.115,0,0,0,0,0,0,0,0,0,0,0.000475624,0.000995025,0,0,0,0,0,0.003977725,0.004095963,0.018360949,0.037929812,0.055920114,0.072057075,0.087164179,0.702702703,0.547445255,0.362776025,0.256781193,0.193842645,0.15433572,0.132241077,0.113300493,0.101028004,0.089871612,0.082045184,0.074029851,378.5790512,378.5052684,378.3831926,378.232194,378.051622,377.8712856,377.6894343,377.5171704,377.3935434,377.3383629,377.3477561,377.4130484
0,547717.3706,3514089.115,0,0,0,0,0,0,0,0.001343484,0.003899326,0.003138374,0.004280618,0.004179104,0.540540541,0.708029197,0.750788644,0.768535262,0.792474344,0.805887033,0.801053248,0.776981639,0.731300957,0.692724679,0.670154578,0.635223881,0,0,0,0,0,0,0,0,0,0,0,0,390.7857493,390.7857468,390.7857447,390.7846399,390.7796818,390.7853418,390.7989078,390.8116195,390.8238214,390.8352564,390.8456384,390.8568675
1,547987.3706,3505149.115,0,0,0,0,0,0,0.008191925,0.010747873,0.012761432,0.016547789,0.020927467,0.022686567,0.567567568,0.620437956,0.542586751,0.533453888,0.539338655,0.521081941,0.501462844,0.487684729,0.47146402,0.474179743,0.46706302,0.471044776,0,0,0,0,0,0,0,0,0,0,0,0,414.585257,414.5852588,414.6153179,414.6939903,414.8147562,414.9518995,415.099204,415.2403384,415.3643307,415.4712905,415.541334,415.5746866
1,552727.3706,3505269.115,0,0,0,0,0,0.012728719,0.012287888,0.009404389,0.007444169,0.005991441,0.0078478,0.007562189,0,0,0,0.108499096,0.181299886,0.215592681,0.22761849,0.229735781,0.206309819,0.181455064,0.162663496,0.150447761,0,0,0,0,0,0,0,0,0,0,0,0,404.9444696,404.9444707,404.9135804,404.8310361,404.7193715,404.5997102,404.4844349,404.3870075,404.295948,404.2014129,404.1063865,403.9928356
0,552877.3706,3508329.115,0,0,0,0,0,0,0,0,0,0,0,0,0.27027027,0.510948905,0.627760252,0.694394213,0.745724059,0.794749403,0.824458748,0.831616659,0.814250266,0.776034237,0.741022592,0.711044776,0.027027027,0.00729927,0.003154574,0.001808318,0.001140251,0.000795545,0.000585138,0.000447828,0.000354484,0.000285307,0.000237812,0.000199005,391.1182441,391.2420855,391.4291379,391.6127329,391.8182453,392.0165471,392.2129821,392.4143606,392.6190304,392.8442361,393.068884,393.3251901
1,552037.3706,3509079.115,0,0,0,0,0,0,0,0,0,0,0,0,0.594594595,0.729927007,0.80126183,0.831826401,0.815279361,0.797136038,0.782913985,0.759068518,0.739454094,0.711554922,0.680856124,0.662089552,0,0,0,0,0,0,0,0,0,0,0.001664685,0.003781095,392.5624447,392.6278043,392.7348925,392.8420766,392.9638339,393.0828569,393.201698,393.3254431,393.452006,393.603206,393.7686687,393.9706054
1,548677.3706,3515589.115,0,0,0,0,0.035347777,0.051710422,0.053832651,0.066726377,0.069478908,0.082453638,0.112485137,0.118606965,0,0,0.006309148,0.047016275,0.084378563,0.116149562,0.142188414,0.162113748,0.170152428,0.164907275,0.163852556,0.168358209,0,0,0,0,0,0,0,0,0,0,0,0,399.260291,399.1964851,399.1309875,399.1124712,399.1157903,399.1373534,399.1926994,399.2751205,399.3806074,399.508737,399.6337119,399.7811474
